customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
37.0,management,married,secondary,no,0.0,no,no,cellular,12,aug,126.0,2.0,0,unknown,0
31.0,admin.,married,secondary,no,93.0,yes,no,cellular,18,may,145.0,2.0,1,success,0
20.0,housemaid,single,secondary,no,649.0,yes,no,cellular,14,may,131.0,1.0,4,failure,0
54.0,management,married,tertiary,no,1459.0,no,no,cellular,2,oct,195.0,2.0,1,success,1
36.0,admin.,married,secondary,no,-327.0,yes,no,cellular,29,jul,117.0,8.0,0,unknown,0
64.0,retired,married,primary,no,50.0,no,no,cellular,9,sep,162.0,3.0,1,success,1
30.0,self-employed,married,secondary,no,580.0,yes,no,cellular,13,oct,834.0,1.0,6,failure,0
32.0,self-employed,divorced,secondary,no,96.0,yes,no,unknown,17,jun,83.0,10.0,0,unknown,0
32.0,management,married,tertiary,no,85.0,no,no,unknown,14,may,82.0,6.0,0,unknown,0
34.0,blue-collar,married,secondary,no,365.0,yes,yes,cellular,20,apr,44.0,2.0,0,unknown,0
48.0,entrepreneur,married,tertiary,no,358.0,yes,no,unknown,27,may,94.0,5.0,0,unknown,0
29.0,management,single,tertiary,no,50.0,no,yes,cellular,31,jul,17.0,17.0,0,unknown,0
45.0,technician,married,secondary,no,1672.0,no,no,cellular,23,oct,79.0,1.0,0,unknown,0
29.0,blue-collar,married,primary,no,-334.0,no,no,cellular,10,jul,136.0,6.0,0,unknown,0
42.0,admin.,single,secondary,no,-495.0,yes,yes,unknown,23,may,131.0,1.0,0,unknown,0
32.0,management,married,secondary,no,4136.0,yes,no,cellular,12,may,94.0,4.0,0,unknown,0
49.0,blue-collar,married,secondary,no,74.0,yes,no,cellular,11,may,182.0,1.0,1,failure,0
30.0,admin.,single,secondary,no,390.0,yes,no,unknown,8,may,67.0,1.0,0,unknown,0
61.0,technician,divorced,secondary,no,2738.0,no,no,cellular,3,feb,210.0,2.0,0,unknown,0
40.0,blue-collar,single,primary,no,3380.0,yes,no,telephone,20,nov,46.0,1.0,0,unknown,0
32.0,technician,divorced,secondary,no,-5.0,no,no,cellular,29,jan,131.0,2.0,4,other,0
30.0,management,single,tertiary,no,39.0,yes,no,cellular,15,may,900.0,3.0,2,other,1
27.0,entrepreneur,single,tertiary,no,218.0,yes,no,cellular,18,may,67.0,2.0,1,failure,0
41.0,management,married,secondary,no,1431.4808641647646,yes,no,unknown,13,may,76.0,1.0,0,unknown,0
41.0,technician,single,tertiary,no,-93.0,yes,no,cellular,3,feb,186.0,4.0,4,failure,0
28.0,blue-collar,married,secondary,no,1783.0,yes,no,unknown,5,jun,78.0,2.0,0,unknown,0
31.0,management,married,tertiary,no,184.0,no,no,cellular,5,feb,131.0,1.0,0,unknown,0
47.0,management,married,tertiary,no,4113.0,no,no,cellular,18,aug,128.0,13.0,0,unknown,0
37.0,management,married,tertiary,no,88.0,yes,no,unknown,19,may,149.0,10.0,0,unknown,0
50.0,housemaid,married,primary,no,5141.0,no,no,unknown,9,jun,182.0,1.0,0,unknown,0
38.0,management,married,tertiary,no,52.0,no,no,unknown,30,may,120.0,3.0,0,unknown,0
45.0,technician,single,tertiary,no,3428.0,yes,no,cellular,25,jul,72.0,30.0,0,unknown,0
55.0,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,618.0,2.0,0,unknown,0
39.0,blue-collar,single,secondary,no,164.0,yes,no,cellular,20,apr,209.0,1.0,1,failure,0
35.0,services,married,secondary,no,0.0,yes,no,cellular,12,jun,110.0,4.0,6,failure,0
34.0,admin.,single,secondary,no,1069.0,no,no,cellular,20,nov,264.0,2.0,0,unknown,0
31.0,admin.,single,tertiary,no,699.0,yes,no,cellular,18,may,74.0,2.0,0,unknown,0
55.0,unknown,married,primary,no,10.0,no,no,telephone,19,oct,258.0,2.0,0,unknown,0
49.0,technician,married,secondary,no,174.0,yes,yes,cellular,8,jul,193.0,1.0,0,unknown,0
40.0,services,married,secondary,no,0.0,yes,no,cellular,31,jul,25.0,20.0,0,unknown,0
58.0,blue-collar,single,secondary,no,1187.0,yes,no,cellular,5,feb,28.0,2.0,0,unknown,0
39.0,management,married,tertiary,no,46.0,no,yes,cellular,22,aug,139.0,1.0,0,unknown,0
40.0,retired,divorced,primary,no,5800.0,no,no,cellular,13,aug,104.0,5.0,0,unknown,0
36.0,admin.,single,secondary,no,143.0,no,no,cellular,11,jul,165.0,2.0,0,unknown,0
30.0,technician,married,unknown,no,-1.0,no,no,unknown,8,may,253.06723338485318,2.0,0,unknown,0
34.0,technician,married,tertiary,no,198.0,no,no,cellular,1,oct,255.0,1.0,2,failure,0
51.0,management,married,tertiary,no,1886.0,no,no,cellular,18,nov,236.0,3.0,0,unknown,0
26.0,technician,single,secondary,no,249.0,no,no,cellular,29,jan,716.0,2.0,0,unknown,0
30.0,services,married,secondary,no,412.0,yes,no,unknown,7,may,214.0,1.0,0,unknown,0
56.0,management,divorced,tertiary,no,155.0,no,no,cellular,13,aug,312.0,2.0,0,unknown,0
55.0,management,single,tertiary,no,1100.0,no,no,telephone,18,aug,202.0,2.0,0,unknown,0
29.0,management,single,tertiary,no,878.0,yes,no,cellular,16,mar,245.0,1.0,2,success,1
38.0,management,married,tertiary,no,729.0,no,no,cellular,26,aug,165.0,13.0,0,unknown,0
56.0,management,married,tertiary,no,4608.0,no,no,telephone,1,sep,208.0,2.0,2,failure,0
44.0,technician,married,tertiary,no,-2.0,no,no,cellular,3,feb,137.0,1.0,0,unknown,0
33.0,admin.,married,secondary,no,114.0,yes,no,telephone,4,feb,198.0,1.0,0,unknown,0
42.0,blue-collar,married,primary,no,163.0,yes,no,unknown,29,may,59.0,6.0,0,unknown,0
34.0,entrepreneur,married,secondary,no,3115.0,yes,no,cellular,20,nov,506.0,1.0,4,failure,0
58.0,admin.,married,secondary,no,304.0,no,yes,cellular,8,jul,235.0,2.0,0,unknown,0
49.0,services,married,secondary,no,195.0,yes,yes,unknown,12,may,290.0,6.0,0,unknown,0
40.0,technician,divorced,secondary,no,1335.0,yes,yes,cellular,29,jan,566.0,2.0,1,failure,0
41.0,admin.,divorced,tertiary,no,995.0,yes,no,cellular,13,may,434.0,3.0,0,unknown,0
38.0,management,divorced,tertiary,no,4569.0,yes,yes,cellular,16,jul,99.0,1.0,0,unknown,0
32.0,services,single,secondary,no,292.0,yes,no,cellular,12,may,259.0,2.0,0,unknown,0
37.0,management,single,tertiary,no,2806.0,yes,no,unknown,19,jun,213.0,12.0,0,unknown,0
33.0,management,single,tertiary,no,-2.0,no,no,cellular,19,aug,167.0,4.0,0,unknown,0
41.0,management,married,tertiary,no,104.0,yes,no,unknown,6,may,1513.0,2.0,0,unknown,0
45.0,admin.,divorced,secondary,no,1112.0,yes,no,unknown,15,may,425.0,1.0,0,unknown,0
38.0,technician,married,secondary,no,196.0,yes,no,unknown,8,may,366.0,2.0,0,unknown,0
46.0,blue-collar,married,unknown,no,388.0,no,no,unknown,6,jun,354.0,4.0,0,unknown,0
32.0,management,married,tertiary,no,0.0,no,no,cellular,22,aug,206.0,4.0,0,unknown,0
27.0,self-employed,married,tertiary,no,1934.0,no,no,cellular,20,nov,60.0,1.0,0,unknown,0
29.0,blue-collar,married,primary,no,198.0,yes,no,unknown,30,may,327.0,2.0,0,unknown,0
40.43921619182674,blue-collar,married,primary,no,1.0,no,no,unknown,9,jun,169.0,1.0,0,unknown,0
45.0,blue-collar,married,primary,no,681.0,yes,no,unknown,15,may,384.0,4.0,0,unknown,0
48.0,services,single,secondary,no,518.0,yes,no,cellular,13,may,358.0,1.0,1,failure,0
27.0,admin.,single,secondary,no,68.0,yes,no,cellular,14,may,450.0,1.0,3,failure,0
60.0,unemployed,married,tertiary,no,2.0,yes,no,cellular,9,jul,255.0,1.0,0,unknown,0
53.0,admin.,married,unknown,no,214.0,no,no,telephone,17,nov,116.0,2.0,0,unknown,0
41.0,services,married,secondary,no,-272.0,yes,no,cellular,28,jul,141.0,10.0,0,unknown,0
36.0,admin.,married,secondary,no,18.0,yes,yes,cellular,13,oct,102.0,1.0,0,unknown,0
47.0,services,divorced,secondary,no,204.0,yes,no,unknown,6,may,73.0,2.0,0,unknown,0
24.0,admin.,married,secondary,no,969.0,yes,no,unknown,4,jun,243.96374790853318,1.0,0,unknown,0
62.0,admin.,married,secondary,no,1431.4808641647646,no,no,cellular,22,dec,170.0,1.0,9,success,1
35.0,self-employed,married,secondary,no,29122.0,no,no,unknown,18,jun,331.0,2.0,0,unknown,0
33.0,management,married,tertiary,no,444.0,no,no,cellular,18,jun,238.0,3.0,0,unknown,1
31.0,management,married,tertiary,no,5879.0,no,no,cellular,23,oct,450.0,1.0,2,failure,1
48.0,blue-collar,single,secondary,no,2609.0,yes,no,unknown,14,may,418.0,2.0,0,unknown,0
55.0,entrepreneur,married,tertiary,no,1956.0,no,no,cellular,15,dec,337.0,1.0,0,unknown,1
48.0,technician,married,secondary,no,142.0,no,no,cellular,22,aug,128.0,2.0,0,unknown,0
29.0,technician,married,secondary,no,341.0,yes,yes,cellular,14,may,58.0,11.0,0,unknown,0
36.0,management,married,tertiary,no,49.0,no,no,cellular,29,aug,59.0,4.0,0,unknown,0
36.0,management,married,tertiary,no,2123.0,yes,no,cellular,21,jul,231.0,3.0,0,unknown,0
36.0,technician,married,secondary,no,5116.0,yes,no,unknown,30,may,41.0,4.0,0,unknown,0
44.0,admin.,married,secondary,no,-2.0,no,no,unknown,26,may,76.0,3.0,0,unknown,0
52.0,technician,married,secondary,no,195.0,yes,no,cellular,17,dec,113.0,2.0,3,failure,0
43.0,unemployed,single,primary,no,213.0,no,no,cellular,5,jun,573.0,3.0,0,unknown,1
53.0,services,divorced,primary,no,2298.0,yes,no,unknown,6,may,158.0,2.0,0,unknown,0
34.0,blue-collar,married,secondary,no,289.0,yes,no,unknown,6,jun,177.0,2.0,0,unknown,0
45.0,services,married,secondary,no,6909.0,no,no,unknown,12,jun,779.0,1.0,0,unknown,0
34.0,admin.,single,tertiary,no,1535.0,yes,no,cellular,15,may,45.0,1.0,5,failure,0
32.0,technician,married,secondary,no,157.0,yes,yes,cellular,14,jul,114.0,2.0,0,unknown,0
45.0,technician,married,tertiary,no,1798.0,no,no,cellular,28,jan,367.0,2.0,0,unknown,0
31.0,services,single,secondary,no,1.0,no,no,cellular,29,jan,95.0,1.0,0,unknown,0
29.0,blue-collar,married,primary,no,342.0,no,no,telephone,20,nov,12.0,1.0,0,unknown,0
35.0,blue-collar,single,secondary,no,7124.0,no,no,unknown,20,jun,22.0,17.0,0,unknown,0
44.0,services,married,secondary,no,6348.0,yes,no,cellular,11,may,44.0,1.0,0,unknown,0
47.0,admin.,married,secondary,no,14442.0,yes,no,cellular,21,nov,76.0,1.0,0,unknown,0
47.0,blue-collar,married,unknown,no,3111.0,no,no,cellular,6,aug,187.0,2.0,0,unknown,0
44.0,entrepreneur,married,secondary,no,1.0,no,no,unknown,5,jun,1444.0,1.0,0,unknown,1
31.0,technician,single,secondary,no,141.0,no,no,cellular,20,nov,312.0,4.0,0,unknown,0
40.43921619182674,admin.,single,secondary,no,16.0,yes,no,cellular,18,nov,1961.0,1.0,0,unknown,1
35.0,services,single,secondary,no,774.0,yes,no,cellular,3,feb,227.0,2.0,1,failure,0
33.0,blue-collar,married,secondary,no,1789.0,yes,no,cellular,16,apr,371.0,2.0,0,unknown,0
37.0,technician,married,tertiary,no,-361.0,no,no,cellular,26,aug,98.0,2.0,0,unknown,0
39.0,management,single,tertiary,no,102.0,yes,no,cellular,8,may,342.0,1.0,0,unknown,0
29.0,blue-collar,divorced,secondary,no,247.0,yes,yes,unknown,7,may,137.0,2.0,0,unknown,0
38.0,management,married,secondary,no,1958.0,no,no,cellular,4,may,119.0,6.0,11,other,0
31.0,blue-collar,divorced,secondary,no,876.0,yes,yes,cellular,29,jan,265.0,3.0,1,failure,0
31.0,blue-collar,married,secondary,no,76.0,yes,yes,cellular,22,jul,282.0,1.0,0,unknown,0
49.0,admin.,married,secondary,no,208.0,no,no,unknown,17,may,10.0,1.0,0,unknown,0
21.0,student,single,secondary,no,4127.0,no,no,cellular,5,apr,916.0,4.0,7,failure,1
40.43921619182674,management,divorced,tertiary,no,6568.0,yes,no,cellular,17,nov,40.0,2.0,0,unknown,0
32.0,management,married,tertiary,no,1331.0,no,no,cellular,3,feb,199.0,2.0,1,success,1
32.0,admin.,married,secondary,no,1161.0,yes,no,cellular,20,apr,40.0,2.0,0,unknown,0
56.0,admin.,married,unknown,no,0.0,yes,no,cellular,17,nov,206.0,1.0,2,failure,0
48.0,technician,married,secondary,no,1941.0,yes,yes,cellular,6,aug,175.0,2.0,0,unknown,0
46.0,self-employed,married,secondary,no,1563.0,no,no,cellular,24,dec,532.0,3.0,3,failure,0
39.0,services,married,secondary,no,200.0,no,no,cellular,30,jan,224.0,2.0,0,unknown,0
46.0,management,married,tertiary,no,509.0,no,no,cellular,23,apr,226.0,2.0,0,unknown,1
45.0,management,married,tertiary,no,0.0,no,no,cellular,16,jun,93.0,2.0,0,unknown,0
45.0,management,divorced,tertiary,no,542.0,yes,no,cellular,14,may,67.0,1.0,2,other,0
53.0,blue-collar,married,primary,no,105.0,yes,no,unknown,27,may,122.0,2.0,0,unknown,0
28.0,admin.,married,secondary,no,-362.0,yes,yes,unknown,3,jun,102.0,1.0,0,unknown,0
37.0,technician,married,secondary,no,6387.0,yes,yes,cellular,18,nov,81.0,1.0,0,unknown,0
29.0,technician,single,secondary,no,-5.0,yes,no,cellular,6,may,192.0,1.0,0,unknown,0
35.0,blue-collar,married,primary,no,3150.0,yes,no,unknown,16,jun,248.0,3.0,0,unknown,0
61.0,admin.,married,secondary,no,3739.0,no,no,cellular,22,sep,178.0,1.0,11,success,1
41.0,blue-collar,married,primary,no,571.0,no,no,cellular,2,feb,256.0,1.0,0,unknown,0
57.0,admin.,married,secondary,no,368.0,no,no,cellular,26,aug,128.0,12.0,0,unknown,0
57.0,housemaid,divorced,primary,yes,1234.0,no,no,unknown,5,jun,1551.0,1.0,0,unknown,1
29.0,technician,single,secondary,no,196.0,no,no,cellular,6,aug,319.0,2.0,0,unknown,0
49.0,admin.,married,secondary,no,424.0,yes,yes,cellular,20,oct,132.0,2.0,7,failure,0
40.0,management,single,secondary,no,110.0,yes,no,telephone,27,aug,23.0,9.0,0,unknown,0
61.0,retired,married,secondary,no,602.0,yes,no,cellular,7,may,38.0,1.0,0,unknown,0
26.0,management,married,tertiary,no,122.0,yes,no,cellular,18,may,705.0,2.0,0,unknown,0
30.0,technician,single,secondary,no,2391.0,no,no,cellular,5,aug,115.0,1.0,0,unknown,0
31.0,management,married,tertiary,no,2732.0,yes,yes,unknown,23,may,49.0,1.0,0,unknown,0
40.0,services,married,secondary,no,434.0,yes,no,cellular,15,may,426.0,6.0,3,other,0
24.0,blue-collar,single,secondary,no,2355.0,no,yes,unknown,27,may,113.0,1.0,0,unknown,0
33.0,management,single,tertiary,no,111.0,yes,no,cellular,15,jul,78.0,2.0,0,unknown,0
32.0,management,single,tertiary,no,3772.0,yes,no,cellular,9,feb,67.0,4.0,1,failure,0
59.0,technician,married,secondary,no,134.0,yes,no,telephone,16,nov,436.0,13.0,1,other,0
31.0,blue-collar,single,secondary,no,1033.0,yes,yes,cellular,16,apr,335.0,2.0,2,failure,0
39.0,technician,married,secondary,no,1629.0,yes,no,unknown,19,may,215.0,3.0,0,unknown,0
53.0,services,married,secondary,no,529.0,yes,no,cellular,29,jul,124.0,2.0,0,unknown,0
31.0,management,single,tertiary,no,37.0,no,no,cellular,19,aug,174.0,2.0,0,unknown,0
57.0,self-employed,divorced,secondary,no,152.0,no,no,unknown,17,jun,830.0,3.0,0,unknown,0
30.0,blue-collar,single,secondary,no,2741.0,no,no,cellular,28,jan,448.0,1.0,0,unknown,0
35.0,management,married,tertiary,no,212.0,yes,no,unknown,21,may,1294.0,1.0,0,unknown,0
35.0,blue-collar,married,secondary,no,2693.0,yes,no,cellular,20,apr,442.0,1.0,0,unknown,0
36.0,technician,married,secondary,no,2200.0,no,no,telephone,12,apr,368.0,1.0,0,unknown,1
47.0,entrepreneur,married,secondary,no,7902.0,yes,yes,cellular,22,aug,381.0,2.0,0,unknown,0
35.0,blue-collar,married,secondary,no,177.0,yes,no,unknown,15,may,373.0,2.0,0,unknown,0
47.0,management,married,tertiary,no,267.0,yes,no,cellular,15,jul,92.0,2.0,0,unknown,0
29.0,management,married,tertiary,no,2.0,yes,no,unknown,23,may,205.0,1.0,0,unknown,0
47.0,management,married,secondary,no,-2.0,yes,no,unknown,14,may,80.0,4.0,0,unknown,0
33.0,technician,single,secondary,yes,-483.0,yes,no,cellular,17,apr,1065.0,1.0,0,unknown,1
54.0,self-employed,married,tertiary,no,544.0,no,no,telephone,6,feb,56.0,5.0,0,unknown,0
48.0,management,single,tertiary,no,34.0,no,yes,unknown,3,jul,173.0,1.0,0,unknown,0
52.0,management,divorced,tertiary,no,2910.0,yes,no,unknown,30,may,94.0,1.0,0,unknown,0
26.0,management,married,tertiary,no,245.0,yes,no,cellular,31,mar,354.0,2.0,1,other,0
36.0,management,married,tertiary,no,289.0,no,yes,cellular,5,aug,139.0,1.0,0,unknown,0
31.0,entrepreneur,married,tertiary,no,280.0,yes,no,telephone,20,apr,37.0,5.0,2,failure,0
33.0,management,married,tertiary,no,3297.0,yes,no,cellular,17,jun,471.0,2.0,4,failure,1
54.0,technician,married,secondary,no,2312.0,yes,no,cellular,8,may,283.0,3.0,2,failure,0
33.0,blue-collar,married,tertiary,no,11.0,yes,no,unknown,18,jun,128.0,3.0,0,unknown,0
28.0,admin.,single,secondary,no,-136.0,no,no,cellular,18,jul,106.0,1.0,0,unknown,0
52.0,blue-collar,married,primary,no,1014.0,yes,no,cellular,20,apr,78.0,1.0,0,unknown,0
34.0,self-employed,divorced,tertiary,no,1356.0,yes,no,cellular,14,may,1738.0,1.0,2,success,1
40.43921619182674,technician,married,secondary,no,274.0,no,no,cellular,25,aug,63.0,6.0,0,unknown,0
26.0,management,single,tertiary,no,125.0,no,yes,cellular,8,jul,177.0,1.0,0,unknown,0
37.0,management,married,tertiary,no,413.0,yes,no,cellular,7,apr,159.0,1.0,0,unknown,0
26.0,services,single,secondary,no,451.0,no,no,cellular,19,apr,129.0,2.0,0,unknown,1
31.0,technician,married,secondary,no,1094.0,yes,no,unknown,2,jun,108.0,3.0,0,unknown,0
51.0,management,married,tertiary,no,915.0,yes,no,unknown,9,may,246.0,4.0,0,unknown,0
28.0,management,married,tertiary,no,476.0,yes,no,cellular,21,nov,68.0,5.0,0,unknown,0
29.0,blue-collar,single,secondary,no,901.0,yes,yes,unknown,21,may,209.0,7.0,0,unknown,0
41.0,technician,divorced,secondary,no,2179.0,no,no,cellular,28,aug,188.0,10.0,0,unknown,0
35.0,student,single,unknown,no,39.0,yes,no,unknown,29,may,707.0,1.0,0,unknown,0
30.0,management,married,tertiary,no,352.0,yes,no,cellular,8,apr,73.0,2.0,2,other,0
23.0,student,single,secondary,no,1745.0,no,no,cellular,21,aug,504.0,2.0,0,unknown,0
62.0,retired,divorced,secondary,no,1096.0,no,no,cellular,11,jul,756.0,2.0,0,unknown,1
44.0,admin.,married,secondary,no,-1093.0,yes,yes,cellular,31,jul,149.0,4.0,0,unknown,0
45.0,unemployed,married,secondary,no,1035.0,no,no,telephone,26,may,136.0,5.0,0,unknown,0
37.0,blue-collar,married,primary,no,-1.0,no,no,unknown,20,jun,612.0,4.0,0,unknown,0
36.0,technician,single,secondary,no,25.0,yes,no,cellular,18,may,75.0,2.0,2,failure,0
48.0,blue-collar,married,primary,no,7096.0,no,no,cellular,6,aug,1461.0,7.0,0,unknown,1
33.0,management,single,secondary,no,356.0,yes,no,unknown,20,may,285.0,1.0,0,unknown,0
37.0,management,married,tertiary,no,2374.0,yes,yes,cellular,20,jul,183.0,2.0,6,other,0
29.0,technician,married,secondary,no,27.0,no,no,cellular,21,aug,166.0,2.0,0,unknown,0
32.0,management,single,tertiary,no,1717.0,yes,no,unknown,21,may,288.0,2.0,0,unknown,0
32.0,blue-collar,married,secondary,no,-661.0,yes,yes,unknown,28,may,41.0,2.0,0,unknown,0
39.0,unemployed,single,secondary,no,358.0,yes,no,cellular,4,may,234.0,2.0,2,failure,0
27.0,admin.,married,secondary,no,-2.0,yes,yes,cellular,26,may,83.0,1.0,0,unknown,0
20.0,blue-collar,single,primary,no,3201.0,yes,no,cellular,15,may,262.2352853965901,1.0,2,failure,0
32.0,services,married,secondary,no,1804.0,yes,no,telephone,6,feb,129.0,1.0,2,failure,0
29.0,services,single,secondary,no,1.0,yes,no,cellular,18,may,127.0,6.0,9,failure,0
32.0,technician,married,tertiary,no,4658.0,yes,yes,cellular,15,jul,149.0,2.0,0,unknown,0
42.0,management,single,tertiary,no,265.0,yes,no,cellular,31,jul,83.0,5.0,0,unknown,0
39.0,services,married,tertiary,no,-123.0,yes,no,unknown,21,may,286.0,1.0,0,unknown,0
61.0,retired,married,tertiary,no,-5.0,no,no,cellular,25,aug,106.0,3.0,0,unknown,0
52.0,management,married,secondary,no,428.0,yes,no,unknown,30,may,147.0,1.0,0,unknown,0
38.0,admin.,single,secondary,no,1061.0,yes,no,unknown,28,may,78.0,4.0,0,unknown,0
33.0,technician,single,secondary,no,-56.0,yes,no,unknown,30,may,57.0,2.0,0,unknown,0
39.0,technician,married,secondary,no,-3.0,yes,yes,cellular,21,nov,97.0,1.0,0,unknown,0
50.0,retired,divorced,primary,no,662.0,yes,no,cellular,15,may,3.0,5.0,0,unknown,0
41.0,blue-collar,divorced,unknown,no,536.0,no,no,unknown,16,may,157.0,2.0,0,unknown,0
42.0,management,married,tertiary,no,979.0,no,no,cellular,19,aug,158.0,1.0,0,unknown,0
44.0,blue-collar,married,secondary,no,7890.0,yes,no,cellular,4,feb,889.0,1.0,0,unknown,1
39.0,blue-collar,married,primary,no,2521.0,yes,no,unknown,15,may,258.0,4.0,0,unknown,0
42.0,management,married,secondary,no,108.0,no,no,unknown,17,jun,667.0,2.0,0,unknown,1
51.0,entrepreneur,married,primary,no,3339.0,yes,yes,unknown,16,may,216.0,1.0,0,unknown,0
46.0,blue-collar,married,secondary,no,1094.0,yes,yes,cellular,6,feb,178.0,2.0,0,unknown,0
60.0,management,divorced,tertiary,no,5697.0,no,no,cellular,30,apr,370.0,1.0,1,success,1
32.0,blue-collar,married,secondary,no,717.0,yes,no,unknown,8,may,25.0,1.0,0,unknown,0
60.0,services,married,secondary,no,293.0,no,yes,cellular,22,jul,245.0,4.0,0,unknown,0
41.0,services,single,secondary,no,2.0,no,no,unknown,20,jun,209.0,2.0,0,unknown,0
44.0,unemployed,married,unknown,no,189.0,no,no,cellular,11,aug,692.0,2.0,0,unknown,1
78.0,retired,married,secondary,no,8303.0,no,no,telephone,9,jun,730.0,1.0,12,failure,1
42.0,blue-collar,married,primary,no,1068.0,no,no,cellular,30,jul,40.0,2.0,0,unknown,0
38.0,technician,married,secondary,no,0.0,no,no,cellular,11,mar,82.0,1.0,0,unknown,0
33.0,self-employed,single,tertiary,no,9958.0,no,no,cellular,20,aug,460.0,1.0,0,unknown,1
34.0,blue-collar,married,secondary,no,3879.0,yes,no,cellular,20,apr,9.0,5.0,0,unknown,0
39.0,blue-collar,married,tertiary,no,1988.0,yes,no,cellular,20,apr,114.0,2.0,0,unknown,0
54.0,retired,divorced,secondary,no,-57.0,no,yes,cellular,15,jul,353.0,10.0,0,unknown,0
38.0,management,married,tertiary,no,385.0,no,no,unknown,28,may,193.0,2.0,0,unknown,0
45.0,blue-collar,married,primary,no,296.0,yes,no,cellular,29,aug,969.0,4.0,0,unknown,0
53.0,admin.,married,secondary,no,-1601.0,no,yes,cellular,13,may,100.0,2.0,0,unknown,0
50.0,management,married,tertiary,no,5793.0,no,no,cellular,19,nov,642.0,1.0,0,unknown,0
39.0,self-employed,married,secondary,no,308.0,yes,no,unknown,20,may,716.0,2.0,0,unknown,0
40.43921619182674,services,married,secondary,no,54.0,yes,no,telephone,13,may,20.0,9.0,0,unknown,0
61.0,retired,married,secondary,no,3.0,no,no,telephone,31,jul,566.0,20.0,0,unknown,0
39.0,services,divorced,secondary,no,5767.0,yes,yes,unknown,28,may,404.0,1.0,0,unknown,0
44.0,admin.,married,secondary,no,821.0,yes,no,unknown,30,may,146.0,2.0,0,unknown,0
